model,method,label,mass_bin,left_msun,right_msun,M0_mean_msun,M0_geomean_msun,n_halos_total,n_halos,selected_fraction,zhalf,zhalf_median,zhalf_q16,zhalf_q84,z_bk09_original,z_coco_hellwing16,dz_bk09_original,dz_coco_hellwing16
PL,gap_2,gap <= 2,13,25118864315.095818,39810717055.34974,31493523421.236603,31212074369.521187,844,806,0.9549763033175356,1.6565989833204913,1.6108410390515921,0.9055611184529038,2.363878944450171,1.7576739033830786,1.6063127880282013,-0.10107492006258734,0.05028619529228995
PL,gap_2,gap <= 2,14,39810717055.34974,63095734448.01936,49693188459.144516,49258154823.548164,598,579,0.9682274247491639,1.5943228905913156,1.5510799254993286,0.8801054788760325,2.2692972761033285,1.687764740462002,1.5169451454955296,-0.09344184987068638,0.07737774509578599
PL,gap_2,gap <= 2,15,63095734448.01936,100000000000.0,78413030890.33838,77737319114.29715,359,343,0.9554317548746518,1.5020266859090141,1.477133765538602,0.7707379501412481,2.179026617435359,1.6196224748449137,1.430635072541981,-0.11759578893589961,0.07139161336703315
PL,gap_2,gap <= 2,16,100000000000.0,158489319246.11142,125091489094.82805,124033352331.196,271,261,0.9630996309963099,1.4639018806495023,1.4682706128305325,0.9198987501408504,1.9689442236558066,1.5516367162132725,1.3453223207359684,-0.08773483556377015,0.11857955991353397
PL,gap_2,gap <= 2,17,158489319246.11142,251188643150.9582,194765262224.95792,193235082800.63455,153,147,0.9607843137254902,1.3793720557926739,1.4004799363475566,0.7624959404200622,1.8913872341748827,1.4888187404349749,1.2672156508352193,-0.109446684642301,0.1121564049574546
PL,gap_2,gap <= 2,18,251188643150.9582,398107170553.4973,310657150424.98303,308142078996.11237,106,104,0.9811320754716981,1.3569107310240358,1.418154450426529,0.6123554762396131,1.9327800405046487,1.424249560161169,1.1876655962522915,-0.0673388291371333,0.1692451347717443
PL,gap_2,gap <= 2,19,398107170553.4973,630957344480.1936,501579399094.2142,497691210832.2192,80,78,0.975,1.2320835111835642,1.1427572685276361,0.5007207911975033,1.8418274782923503,1.359737211565518,1.1089412149305682,-0.12765370038195378,0.123142296252996
PL,gap_2,gap <= 2,20,630957344480.1936,1000000000000.0,821848258098.5312,815968145434.4486,53,51,0.9622641509433962,1.2373764147000745,1.296269861963905,0.7088059021894022,1.652856210164589,1.295038611468263,1.0307614016931486,-0.05766219676818851,0.20661501300692597
PL,gap_3,gap <= 3,1,100000000.0,158489319.24611133,125147857.99524948,124046748.26556098,111004,99651,0.8977244063276999,2.532585360622596,2.289886471113889,1.2136845887121939,3.8166998036271464,2.76450455654369,2.9782087561945394,-0.231919195921094,-0.4456233955719435
PL,gap_3,gap <= 3,2,158489319.24611133,251188643.15095794,198272296.76328024,196486506.39798602,77426,74095,0.9569782760313074,2.5405436273801243,2.309063208245746,1.260099753463993,3.774842655694965,2.668232995724647,2.840607403596375,-0.1276893683445226,-0.3000637762162506
