model,model_label,snap_current,snap_next,z_current,z_next,z_mid,dt_yr,mass_bin_left_msun,mass_bin_right_msun,mass_bin_center_msun,n_halos,mean_mass_current_msun,median_mass_current_msun,mean_dM200c_dt_msun_yr,median_dM200c_dt_msun_yr,std_dM200c_dt_msun_yr,sem_dM200c_dt_msun_yr,p16_dM200c_dt_msun_yr,p84_dM200c_dt_msun_yr,negative_fraction,correa2015_mean_dMdt_msun_yr,mean_over_correa
BT_soft,BT kp=1,44,45,2.0333177828202462,1.7575616207456761,1.8954397017829612,480151358.9503279,100000000000.0,316000000000.0,177763888346.31177,692,168513195914.34015,150084905624.38965,47.26642433594861,25.86683559273554,92.62034473010769,3.520897206072382,-2.850372818004795,91.5400591541729,0.1893063583815029,64.7594576725696,0.7298767783839768
BT_soft,BT kp=1,44,45,2.0333177828202462,1.7575616207456761,1.8954397017829612,480151358.9503279,316000000000.0,1000000000000.0,562138772902.2078,187,526021220365.31006,487076454162.59766,212.77267701737148,116.96703434504715,313.0294237572417,22.890978553407695,-15.115250424559074,420.2393802708333,0.1925133689839572,202.14944456003792,1.0525513808878089
BT_soft,BT kp=1,45,46,1.7575616207456761,1.506874200677888,1.632217910711782,546506079.4615679,100000000.0,316000000.0,177763888.34631178,137932,242472459.14341524,237681549.0424633,0.015491819440055123,0.010961928194455874,0.06066144442632818,0.00016333536616452288,-0.017046223439966944,0.042922983995016525,0.33520140359017486,0.07349255151489287,0.21079441549822622
BT_soft,BT kp=1,45,46,1.7575616207456761,1.506874200677888,1.632217910711782,546506079.4615679,316000000.0,1000000000.0,562138772.9022079,153413,538809269.5963491,487416796.3862419,0.04139855288172216,0.0271235607891225,0.14216503761700056,0.00036296247105795874,-0.02368907356947488,0.09298174250303555,0.2788029697613631,0.16331119889822285,0.25349488070026444
BT_soft,BT kp=1,45,46,1.7575616207456761,1.506874200677888,1.632217910711782,546506079.4615679,1000000000.0,3160000000.0,1777638883.4631178,54959,1698379440.783476,1537190228.7006378,0.16805775902813408,0.10207686294721711,0.483281724614691,0.0020614887141049026,-0.04501497741506411,0.3234196573410097,0.2232391419057843,0.514772848778625,0.3264697418033528
BT_soft,BT kp=1,45,46,1.7575616207456761,1.506874200677888,1.632217910711782,546506079.4615679,3160000000.0,10000000000.0,5621387729.0220785,19342,5369830231.914451,4862563610.076904,0.6515217759930962,0.3755680698264269,1.6739554124858367,0.012036305338841938,-0.11853939544616636,1.177214608569915,0.2077861648226657,1.6275767002131267,0.400301734417666
BT_soft,BT kp=1,45,46,1.7575616207456761,1.506874200677888,1.632217910711782,546506079.4615679,10000000000.0,31600000000.0,17776388834.631176,6543,16872849674.303562,15318561792.373657,2.5044806002429563,1.3602599306195733,5.7716471262138,0.07135284772256051,-0.32868373049686705,4.527157228370368,0.20204799021855419,5.1141015283651585,0.48972054746116306
BT_soft,BT kp=1,45,46,1.7575616207456761,1.506874200677888,1.632217910711782,546506079.4615679,31600000000.0,100000000000.0,56213877290.22079,2257,53222848000.017265,47959680557.25098,10.239598682706108,5.178180164524983,22.576727908635267,0.47522055745514613,-0.6191607088545299,17.600106456993014,0.18165706690296854,16.13165846640363,0.6347517649243234
BT_soft,BT kp=1,45,46,1.7575616207456761,1.506874200677888,1.632217910711782,546506079.4615679,100000000000.0,316000000000.0,177763888346.31177,712,169255237016.785,150990695953.36914,41.987313420624794,20.23951848506158,95.49799581192015,3.5789387048314105,-3.0776921355123483,72.53888014277643,0.18398876404494383,51.300668412259455,0.8184554845018545
BT_soft,BT kp=1,45,46,1.7575616207456761,1.506874200677888,1.632217910711782,546506079.4615679,316000000000.0,1000000000000.0,562138772902.2078,192,540787858664.98944,490975990295.41016,144.87180253854072,80.71600215707016,259.1820622146975,18.704854173597244,-10.312718653549297,328.68274420093405,0.21354166666666666,163.91090230193126,0.8838448236449845
