model,label,method,method_label,mass_bin,mass_bin_left_msun,mass_bin_right_msun,M0_mean_msun,M0_geomean_msun,snap_left,snap_right,z_left,z_right,z_mid,a_mid,n_halos,Gamma_median,Gamma_q16,Gamma_q84,Gamma_mean,negative_fraction,particle_mass_code,particle_mass_msun
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,2,158489319.24611133,251188643.15095797,197851202.9584026,196063777.2016049,51,52,0.5565716454277756,0.4150651322070684,0.4841328313958388,0.6737941367818755,107349,0.2710650465550724,0.0,1.19817774122625,0.6705677333940598,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,2,158489319.24611133,251188643.15095797,197905690.04938948,196117263.1532472,52,53,0.4150651322070684,0.2864228474609716,0.3492116649053081,0.7411735504600631,105394,0.0967593035341122,0.0,0.9128499179926336,0.5165710124840877,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,2,158489319.24611133,251188643.15095797,197911008.31107715,196123255.23346084,53,54,0.2864228474609716,0.1694753158736106,0.2265560590048256,0.8152909055060692,104599,0.2161141931694936,0.0,0.990798958518114,0.5631148493458408,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,2,158489319.24611133,251188643.15095797,197893754.6845995,196104736.95835897,54,55,0.1694753158736106,0.0631593780669188,0.1150509627316598,0.8968199960566761,106740,0.1998823385792585,0.0,0.9200493638677824,0.5320143086986342,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,2,158489319.24611133,251188643.15095797,197882352.4566276,196093518.85652947,55,56,0.0631593780669188,0.0,0.0310962021397027,0.9698416092745054,112657,0.1860811353685955,0.0,1.2746897409652806,0.9262587353028516,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,3,251188643.15095797,398107170.5534973,323044975.1066977,319959621.84255904,24,25,19.40664523021168,17.551495663828796,18.45697279901384,0.0513954565455672,58,2.6422928201988,0.5787425211526142,5.184735882779252,3.197460567260649,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,3,251188643.15095797,398107170.5534973,323696995.69648147,320746022.4779045,25,26,17.551495663828796,15.86499605802618,16.68815709001258,0.0565350022001239,234,2.2440540924617656,0.7260991309500908,4.806935093463676,2.839797409456137,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,3,251188643.15095797,398107170.5534973,326419048.9952667,323405708.7757062,26,27,15.86499605802618,14.331814598205613,15.080142809102345,0.0621885024201363,713,2.142818496361864,0.5433404434204259,4.668650084331122,2.589217280295354,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,3,251188643.15095797,398107170.5534973,325361497.7091175,322545058.3927636,27,28,14.331814598205613,12.938013271096011,13.618311644638496,0.06840735266215,1851,2.0740491460157724,0.5175044563839704,4.279556285104444,2.451405818150502,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,3,251188643.15095797,398107170.5534973,324491063.92627984,321686802.1533422,28,29,12.938013271096011,11.670921155541825,12.289374222398628,0.075248087928365,4227,1.9446888338088,0.3745139970394502,4.316130209830999,2.385499881851378,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,3,251188643.15095797,398107170.5534973,323477987.2235898,320702489.5033771,29,30,11.670921155541825,10.51901923231075,11.08124929308966,0.0827728967212015,8428,1.9367926564861924,0.3879440864269072,4.200832336057212,2.3504945456156747,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,3,251188643.15095797,398107170.5534973,321816773.8673481,319044694.27335185,30,31,10.51901923231075,9.471835665737045,9.98295390280878,0.0910501863933217,14756,1.7548744099349485,0.0,3.994117718506137,2.189457666780701,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,3,251188643.15095797,398107170.5534973,320752695.3539567,317984852.9664553,31,32,9.471835665737045,8.519850605215494,8.984503548007982,0.1001552050326539,22996,1.642849164130859,0.0,3.954155817656504,2.1248810614411946,0.0,0.0001890437561087,1890437.5610873103
BT_deep,BT(deep),cumulative_envelope,cumulative maximum envelope,3,251188643.15095797,398107170.5534973,319597502.737059,316822421.2615177,32,33,8.519850605215494,7.654409641104996,8.076821407279985,0.1101707255359193,32179,1.5694855659795002,0.0,3.9161186312179392,2.06857563928178,0.0,0.0001890437561087,1890437.5610873103
