model,label,mass_bin,mass_bin_left_msun,mass_bin_right_msun,M0_mean_msun,M0_geomean_msun,snapshot,redshift,scale_factor,n_halos,M_over_M0_median,M_over_M0_q16,M_over_M0_q84,M_over_M0_mean,particle_mass_code,particle_mass_msun
PL,PL,7,1584893192.461114,2511886431.5095806,1980376197.8618164,1963339703.1999629,42,2.670314517212497,0.2724562146678025,9859,0.37731158110787727,0.21301274838603668,0.5712383090969316,0.4180024265585533,0.00018904375610873103,1890437.5610873103
PL,PL,8,2511886431.5095806,3981071705.534973,3143839994.066971,3116461737.644088,42,2.670314517212497,0.2724562146678025,6803,0.3696985994740692,0.21097388993542918,0.5520410866349106,0.40970456645880476,0.00018904375610873103,1890437.5610873103
PL,PL,9,3981071705.534973,6309573444.801932,4965666469.542816,4922564905.063148,42,2.670314517212497,0.2724562146678025,4466,0.3577024757423424,0.19752829989749146,0.538841242524262,0.39154327726976323,0.00018904375610873103,1890437.5610873103
PL,PL,10,6309573444.801932,10000000000.0,7882285724.736732,7814008610.29748,42,2.670314517212497,0.2724562146678025,2976,0.33432895754112346,0.19100006902294578,0.5173988394110666,0.3687577737042669,0.00018904375610873103,1890437.5610873103
PL,PL,11,10000000000.0,15848931924.611141,12520994450.96417,12411551870.85872,42,2.670314517212497,0.2724562146678025,1925,0.319269996551798,0.17221659263531075,0.49120086326597334,0.347901947239398,0.00018904375610873103,1890437.5610873103
PL,PL,12,15848931924.611141,25118864315.095818,19829473252.682114,19655081778.371483,42,2.670314517212497,0.2724562146678025,1308,0.3096875550740905,0.17463220806661217,0.476486860888909,0.33467713310497144,0.00018904375610873103,1890437.5610873103
PL,PL,13,25118864315.095818,39810717055.34974,31528714433.951107,31247395117.983105,42,2.670314517212497,0.2724562146678025,844,0.301879118760207,0.16387496307816024,0.4563263869014911,0.3182966918860318,0.00018904375610873103,1890437.5610873103
PL,PL,14,39810717055.34974,63095734448.01936,49659503550.49015,49228502823.62943,42,2.670314517212497,0.2724562146678025,594,0.27531807067575975,0.1502795197301688,0.43590688666418553,0.2951962478895271,0.00018904375610873103,1890437.5610873103
PL,PL,15,63095734448.01936,100000000000.0,78364303951.90123,77699541086.84235,42,2.670314517212497,0.2724562146678025,358,0.26038794906467927,0.1386767842517818,0.41875506800678286,0.2847621716906279,0.00018904375610873103,1890437.5610873103
PL,PL,16,100000000000.0,158489319246.11142,125260975159.1522,124206756339.73474,42,2.670314517212497,0.2724562146678025,271,0.25489816361153483,0.13987629800988502,0.3715156113188734,0.2635365938025384,0.00018904375610873103,1890437.5610873103
PL,PL,17,158489319246.11142,251188643150.9582,194814976715.79913,193293497035.65912,42,2.670314517212497,0.2724562146678025,152,0.24864675527827637,0.13814735607112869,0.370903321361632,0.2570510232998078,0.00018904375610873103,1890437.5610873103
PL,PL,18,251188643150.9582,398107170553.4973,311308590158.046,308756896626.35986,42,2.670314517212497,0.2724562146678025,106,0.2255460511941697,0.13306649912464072,0.3720394160596341,0.24626042590842026,0.00018904375610873103,1890437.5610873103
PL,PL,19,398107170553.4973,630957344480.1936,504418347795.0836,500334095189.1246,42,2.670314517212497,0.2724562146678025,80,0.1987900183145646,0.11778200850092321,0.3216740329437312,0.21930074409922157,0.00018904375610873103,1890437.5610873103
PL,PL,20,630957344480.1936,1000000000000.0,819950155220.5852,814110211574.4174,42,2.670314517212497,0.2724562146678025,52,0.19839866354879615,0.10528430410494884,0.2883762556697056,0.2037556500103854,0.00018904375610873103,1890437.5610873103
PL,PL,1,100000000.0,158489319.24611133,125402979.29060084,124294923.79517514,43,2.3366495611022704,0.29970183613458273,89851,0.5407916416021354,0.3597116169217354,0.8272709264288123,0.643671849167268,0.00018904375610873103,1890437.5610873103
PL,PL,2,158489319.24611133,251188643.15095794,198773262.40295738,196982737.84148315,43,2.3366495611022704,0.29970183613458273,71601,0.49799290953200026,0.30303617445642433,0.7625168504023456,0.5834574364968369,0.00018904375610873103,1890437.5610873103
PL,PL,3,251188643.15095794,398107170.5534973,315410307.84639233,312669890.6586832,43,2.3366495611022704,0.29970183613458273,50172,0.47945610237888664,0.2805079221622517,0.7225698585034156,0.5481751179762991,0.00018904375610873103,1890437.5610873103
PL,PL,4,398107170.5534973,630957344.4801933,499089354.4068197,494640755.4270287,43,2.3366495611022704,0.29970183613458273,34447,0.46859712376989,0.2729452768573978,0.6912701302460954,0.5290821586309187,0.00018904375610873103,1890437.5610873103
PL,PL,5,630957344.4801933,999999999.9999999,790548429.22104,783594588.2500298,43,2.3366495611022704,0.29970183613458273,22936,0.4587035910665029,0.2671642331898972,0.6710423578483,0.513733131791898,0.00018904375610873103,1890437.5610873103
PL,PL,6,999999999.9999999,1584893192.461114,1251358032.0009148,1240416931.5942132,43,2.3366495611022704,0.29970183613458273,15553,0.448416144575276,0.25949234928093023,0.6421750073079247,0.4919641438403746,0.00018904375610873103,1890437.5610873103
PL,PL,7,1584893192.461114,2511886431.5095806,1980088893.301455,1963101797.2421594,43,2.3366495611022704,0.29970183613458273,9860,0.43456218400610236,0.25559538915980773,0.6265507107783441,0.47432300026949,0.00018904375610873103,1890437.5610873103
PL,PL,8,2511886431.5095806,3981071705.534973,3143318347.4983234,3115939496.799148,43,2.3366495611022704,0.29970183613458273,6794,0.42397871731372244,0.25339570323686106,0.6094533638348568,0.46227472596757185,0.00018904375610873103,1890437.5610873103
PL,PL,9,3981071705.534973,6309573444.801932,4965419923.983066,4922392109.352658,43,2.3366495611022704,0.29970183613458273,4463,0.4131515023261173,0.2362649078095541,0.5940840120179591,0.44618755248096226,0.00018904375610873103,1890437.5610873103
PL,PL,10,6309573444.801932,10000000000.0,7883150005.083762,7814853548.836942,43,2.3366495611022704,0.29970183613458273,2985,0.3898682663312156,0.22986164747296894,0.5692223406473648,0.42091385888835986,0.00018904375610873103,1890437.5610873103
PL,PL,11,10000000000.0,15848931924.611141,12523495374.956907,12413703708.54867,43,2.3366495611022704,0.29970183613458273,1924,0.3765762488625519,0.21185341828933169,0.5494325629813905,0.40255002219317737,0.00018904375610873103,1890437.5610873103
PL,PL,12,15848931924.611141,25118864315.095818,19838108206.677708,19663111115.31446,43,2.3366495611022704,0.29970183613458273,1303,0.36241515412154274,0.21348257851946462,0.5310486460653648,0.38582096763386375,0.00018904375610873103,1890437.5610873103
PL,PL,13,25118864315.095818,39810717055.34974,31529155843.489216,31247413555.097668,43,2.3366495611022704,0.29970183613458273,839,0.35241346076516394,0.20390401464745295,0.5165318949059773,0.368503210322424,0.00018904375610873103,1890437.5610873103
PL,PL,14,39810717055.34974,63095734448.01936,49649071871.262764,49218936532.7218,43,2.3366495611022704,0.29970183613458273,596,0.3287110007419889,0.18656129045792705,0.4909925174554881,0.3450420680635883,0.00018904375610873103,1890437.5610873103
PL,PL,15,63095734448.01936,100000000000.0,78424568598.5091,77754169414.1475,43,2.3366495611022704,0.29970183613458273,359,0.3013915218369804,0.17785495799760975,0.4744917852386882,0.33807637713480276,0.00018904375610873103,1890437.5610873103
PL,PL,16,100000000000.0,158489319246.11142,125260975159.1522,124206756339.73474,43,2.3366495611022704,0.29970183613458273,271,0.30081813391848683,0.17091129783992856,0.42930969392760454,0.3071917774375914,0.00018904375610873103,1890437.5610873103
PL,PL,17,158489319246.11142,251188643150.9582,194939165673.81696,193421018747.4252,43,2.3366495611022704,0.29970183613458273,153,0.288835562136467,0.16594841459758478,0.43228492954163367,0.3013230061904614,0.00018904375610873103,1890437.5610873103
