method,mass_bin,mass_bin_left_msun,mass_bin_right_msun,snap_left,snap_right,z_mid,a_mid,PL_M0_mean_msun,PL_n_halos,PL_Gamma_median,PL_Gamma_q16,PL_Gamma_q84,BT_soft_M0_mean_msun,BT_soft_n_halos,BT_soft_Gamma_median,BT_soft_Gamma_q16,BT_soft_Gamma_q84,BT_deep_M0_mean_msun,BT_deep_n_halos,BT_deep_Gamma_median,BT_deep_Gamma_q16,BT_deep_Gamma_q84,BT_soft_minus_PL_Gamma_median,BT_deep_minus_PL_Gamma_median,BT_soft_over_PL_Gamma_median,BT_deep_over_PL_Gamma_median
cumulative_envelope,6,1000000000.0,1584893192.461114,44,45,1.8921550272124896,0.3457629313058704,1251415930.382358,15318.0,0.7408834062920875,0.0,2.0461382207133934,1251997952.153516,21600,0.2833941192693433,0.0,1.0631166653618014,1248447612.443082,19972.0,0.5117255291398468,0.0,1.825736075106115,-0.45748928702274416,-0.22915787715224067,0.38250839047354424,0.6906964372449489
cumulative_envelope,6,1000000000.0,1584893192.461114,45,46,1.6292318429204444,0.3803392244364576,1251525905.2327402,15235.0,0.7646913492506664,0.0,2.038914150704213,1252183326.2264073,21449,0.3939011538067309,0.0,1.112809592144871,1248257774.1871598,19881.0,0.6246778315108582,0.0,1.8119691481873803,-0.3707901954439355,-0.1400135177398082,0.5151112984248104,0.816901920131554
cumulative_envelope,6,1000000000.0,1584893192.461114,46,47,1.3902107662913137,0.4183731468801033,1251815965.087175,15164.0,0.5839226808344801,0.0,1.6871169352644997,1252021710.9211874,21306,0.3015661364881263,0.0,0.9465169555482716,1248078347.333782,19749.0,0.4720197725421098,0.0,1.5159357022903812,-0.28235654434635377,-0.11190290829237026,0.5164487463599806,0.8083600586768602
cumulative_envelope,6,1000000000.0,1584893192.461114,47,48,1.1729188784466489,0.4602104615681135,1251980472.391215,15068.0,0.5030666778325489,0.0,1.5066672194784916,1251845973.4413216,21111,0.2372932227193556,0.0,0.8407598504879544,1248226317.4229383,19580.0,0.3850497310956728,0.0,1.3756393928473942,-0.2657734551131933,-0.11801694673687607,0.4716933821610446,0.7654049613356437
cumulative_envelope,6,1000000000.0,1584893192.461114,48,49,0.9753807985878624,0.506231507724925,1251704919.579419,14890.0,0.445485681936174,0.0,1.352157117707184,1251861353.4109793,20905,0.1854156875791885,0.0,0.7505227611686252,1248527142.630941,19420.0,0.3113113799123817,0.0,1.1998918348859002,-0.2600699943569855,-0.13417430202379227,0.4162102062929006,0.6988134356178571
cumulative_envelope,6,1000000000.0,1584893192.461114,49,50,0.7958007259889663,0.5568546584974173,1251391105.9242797,14733.0,0.5190126332554268,0.0,1.3500839750399245,1251710789.9773197,20678,0.2837188685557205,0.0,0.8028591872446168,1248543454.5879858,19219.0,0.4259389283033573,0.0,1.201656918019694,-0.2352937646997063,-0.09307370495206951,0.5466511802923516,0.8206716002878792
cumulative_envelope,6,1000000000.0,1584893192.461114,50,51,0.6325461145354234,0.6125401243471593,1251282830.4876735,14527.0,0.399121418270527,0.0,1.1748557413386431,1251603183.2592402,20447,0.2035799445736872,0.0,0.6929800947731191,1248504829.941533,18952.0,0.3227918880849312,0.0,1.0569563484137765,-0.1955414736968398,-0.0763295301855958,0.5100702073465259,0.8087561160802973
cumulative_envelope,6,1000000000.0,1584893192.461114,51,52,0.4841328313958388,0.6737941367818755,1251266039.240151,14294.0,0.3400996034843213,0.0,1.0200973728052465,1251313042.063398,20152,0.1519193589823271,0.0,0.5944965682238964,1248618961.973306,18643.0,0.3695867933605502,0.0,1.0297861387039895,-0.18818024450199416,0.029487189876228947,0.4466907853637961,1.0867016296818126
cumulative_envelope,6,1000000000.0,1584893192.461114,52,53,0.3492116649053081,0.7411735504600631,1251188953.1913898,14146.0,0.2714636279221872,0.0,0.8988615740323073,1251580617.962144,19821,0.1071853729327102,0.0,0.5249787482685256,1248332733.2110343,18419.0,0.2565126552856474,0.0,0.8511350000137884,-0.164278254989477,-0.014950972636539828,0.39484248314633885,0.944924582527036
cumulative_envelope,6,1000000000.0,1584893192.461114,53,54,0.2265560590048256,0.8152909055060692,1250616381.6562958,14150.0,0.3452125673171304,0.0,0.9042062596819764,1252264124.7210553,19716,0.194239704976439,0.0,0.5714611049834851,1247694844.009365,18384.0,0.2950244590878269,0.0,0.820365948759812,-0.1509728623406914,-0.05018810822930353,0.5626669575965935,0.8546167985153388
cumulative_envelope,6,1000000000.0,1584893192.461114,54,55,0.1150509627316598,0.8968199960566761,1250607591.666449,14396.0,0.254036773246425,0.0,0.7662931991563238,1252333707.8494697,20224,0.1277860453041664,0.0,0.4639151830870398,1247702559.7545297,18724.0,0.2673514845692971,0.0,0.7527387002790599,-0.12625072794225858,0.013314711322872097,0.5030218407797569,1.052412535211807
cumulative_envelope,6,1000000000.0,1584893192.461114,55,56,0.0310962021397027,0.9698416092745054,1251150576.8730347,14994.0,0.1801454173204107,0.0,0.8431470163659077,1252006020.8086293,21269,0.1676904955745502,0.0,0.6191557334416702,1247762581.0312295,19513.0,0.2643666579037188,0.0,0.9155081344180634,-0.012454921745860492,0.08422124058330813,0.9308618452185887,1.4675180853116587
cumulative_envelope,11,10000000000.0,15848931924.61114,21,22,24.89723079548743,0.0386141672017785,,,,,,12584909292.972012,1758,3.255313560679921,1.2322056240343169,6.886869294846501,,,,,,,,,
cumulative_envelope,11,10000000000.0,15848931924.61114,22,23,22.54293708680676,0.0424755839219564,,,,,,12560134042.75291,2181,3.146369870614149,1.291484705109324,6.940826232466748,12196036653.816666,25.0,3.5922485160035813,0.8843023477262563,7.189007658559986,,,,
cumulative_envelope,11,10000000000.0,15848931924.61114,23,24,20.402670078915232,0.046723142314152,,,,,,12545371822.342876,2497,3.0138899679793467,1.199023333666287,6.500785927725794,12360530268.267572,98.0,3.4284668947043744,1.6717043977268782,6.7923754596205415,,,,
