model,snapshot,redshift,log10_M_FOF_Msun,dn_dlog10M,poisson_err,source_file
BT_deep,0027,14.3318146,1.1583333333e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0027_fof_reed07_input.npz
BT_deep,0027,14.3318146,1.1750000000e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0027_fof_reed07_input.npz
BT_deep,0027,14.3318146,1.1916666667e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0027_fof_reed07_input.npz
BT_deep,0027,14.3318146,1.2083333333e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0027_fof_reed07_input.npz
BT_deep,0027,14.3318146,1.2250000000e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0027_fof_reed07_input.npz
BT_deep,0027,14.3318146,1.2416666667e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0027_fof_reed07_input.npz
BT_deep,0027,14.3318146,1.2583333333e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0027_fof_reed07_input.npz
BT_deep,0027,14.3318146,1.2750000000e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0027_fof_reed07_input.npz
BT_deep,0027,14.3318146,1.2916666667e+01,0.0000000000e+00,0.0000000000e+00,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0027_fof_reed07_input.npz
BT_deep,0030,10.51901923,8.0768154667e+00,1.2464130171e+01,3.8247206231e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,8.2448022512e+00,7.2432792619e+00,2.9156564123e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
BT_deep,0030,10.51901923,8.4113827822e+00,4.3084578019e+00,2.2486903256e-02,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/BT_deep_snap0030_fof_reed07_input.npz
