model,snapshot,redshift,reference_model,log10_M_FOF_Msun,dn_dlog10M,poisson_err,reed07_dndlog10M_interp,sim_over_reed07,sim_over_reed07_minus_1,ratio_err,residual_err,source_file
PL,0040,3.4410805658e+00,Reed07_FOF,8.9147722769e+00,2.9401028710e+00,1.8575905485e-02,3.0073095886e+00,9.7765221185e-01,-2.2347788154e-02,6.1769182512e-03,6.1769182512e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,9.0808982634e+00,2.0247756469e+00,1.5415484679e-02,2.0949752238e+00,9.6649145245e-01,-3.3508547554e-02,7.3583135989e-03,7.3583135989e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,9.2470264571e+00,1.3991044799e+00,1.2814268016e-02,1.4556785343e+00,9.6113561263e-01,-3.8864387369e-02,8.8029518287e-03,8.8029518287e-03,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,9.4133568643e+00,9.5922161850e-01,1.0610313319e-02,1.0080534639e+00,9.5155827827e-01,-4.8441721726e-02,1.0525546213e-02,1.0525546213e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,9.5811546582e+00,6.7085657303e-01,8.8732673978e-03,6.9345485853e-01,9.6741203090e-01,-3.2587969101e-02,1.2795739029e-02,1.2795739029e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,9.7474056991e+00,4.5384925960e-01,7.2983476250e-03,4.7662140241e-01,9.5222173681e-01,-4.7778263187e-02,1.5312672885e-02,1.5312672885e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,9.9148573791e+00,3.1289426587e-01,6.0599289426e-03,3.2521087946e-01,9.6212730149e-01,-3.7872698510e-02,1.8633844454e-02,1.8633844454e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,1.0078783833e+01,2.0620976186e-01,4.9195269037e-03,2.2261446882e-01,9.2630889156e-01,-7.3691108435e-02,2.2098864147e-02,2.2098864147e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,1.0248654647e+01,1.4283282879e-01,4.0943291023e-03,1.4930623693e-01,9.5664341776e-01,-4.3356582242e-02,2.7422358144e-02,2.7422358144e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
PL,0040,3.4410805658e+00,Reed07_FOF,1.0412644070e+01,9.6473775897e-02,3.3649093428e-03,1.0079448356e-01,9.5713349078e-01,-4.2866509216e-02,3.3383864118e-02,3.3383864118e-02,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/HALOMASS/output/fof_reed07_highz_cache/PL_snap0040_fof_reed07_input.npz
