model,M0_msun,z,M_over_M0,M_msun,alpha,beta,f_M0,a_article
Correa2015a_article_formula_project_pl,978689920.0916836,1.44,0.5746825249776509,562435994.4484642,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.46,0.5699472467076028,557801625.3367388,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.48,0.5652458544763636,553200420.1496277,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.5,0.5605782355362031,548632268.5420636,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.52,0.5559442731891363,544097056.302905,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.54,0.5513438469779471,539594665.5418885,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.56,0.5467768328695862,535124974.8691192,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.58,0.5422431034312752,530687859.5674213,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.6,0.5377425279996393,526283191.7578669,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.62,0.5332749728431668,521910840.5587737,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.6400000000000001,0.528840301318291,517570672.23846006,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.6600000000000001,0.524438374019358,513262550.362018,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.68,0.5200690489227496,508986335.93236375,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.7,0.5157321815254027,504741887.525806,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.72,0.5114276249779615,500529061.42236066,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.74,0.5071552302127902,496347711.73103505,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.76,0.5029148460670522,492197690.51028466,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.78,0.49870631940106613,488078847.88384706,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.8,0.4945294952121276,483991032.15213776,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.82,0.4903842167439818,479934089.8993904,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.84,0.4862703255921254,475907866.0967142,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.86,0.482187661805101,471912204.20123005,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.8800000000000001,0.47813606398194775,467946946.2514446,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.9000000000000001,0.47411536936596016,464011932.9590106,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.92,0.47012541393489876,460107003.7970158,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.94,0.4661660324877953,456231997.0849376,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.96,0.46223705872848264,452386750.07039356,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,1.98,0.4583383253459776,448571099.00781095,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.0,0.45446966409183887,444784879.2341361,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.02,0.4506309058546152,441027925.24169636,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.04,0.4468218807314963,437300070.7483239,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.06,0.44304241809727063,433601148.76484406,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.08,0.4392923466706953,429930991.66003096,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.1,0.4355714945783722,426289431.2231223,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.12,0.4318796894162258,422676298.72398716,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.14,0.4282167583086715,419091424.9710335,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.16,0.42458252796556023,415534640.3669392,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.18,0.4209768247369812,412005774.96228683,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.2,0.41739947466600225,408504658.50718045,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.22,0.4138503035394219,405031120.5009159,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.24,0.41032913693660855,401584990.23977894,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.2600000000000002,0.40683580027649147,398166096.8630356,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.2800000000000002,0.4033701188627756,394774269.39718276,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.3000000000000003,0.3999319179274405,391409336.7985205,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.32,0.3965210226725861,388071127.99410594,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.34,0.39313725831068497,384759471.9211479,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.36,0.3897804501032964,381474197.56489563,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.38,0.3864504233982986,378215133.99507815,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.4,0.383147003665689,374982110.4009412,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.42,0.37987001653200564,371774956.12493515,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.44,0.37661928781341597,368593500.6950989,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.46,0.3733946435475204,365437573.85618544,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.48,0.3701959100239162,362307005.5995747,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.5,0.36702291381356267,359201626.19201255,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.52,0.36387548179699164,356121266.2032206,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.54,0.3607534411914008,353065756.53241193,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.56,0.35765661957667033,350034928.4337532,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.58,0.35458484492033815,347028613.5408078,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.6,0.35153794560157015,344046643.88999534,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.62,0.34851575043416017,341088851.94310135,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.64,0.34551808868859135,338155070.6088687,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.66,0.3425447901131926,335245133.263703,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.68,0.3395956849544188,332358873.7715207,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.7,0.33667060397628595,329496126.5027702,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.72,0.33376937847898974,326656726.3526534,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.74,0.33089184031673247,323840508.75857306,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.7600000000000002,0.3280378219147898,321047309.71683556,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.7800000000000002,0.32520715628583685,318276965.79862934,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.8000000000000003,0.3223996770455641,315529314.16530776,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.82,0.3196152184276024,312804192.5829962,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.84,0.3168536152977823,310101439.4365476,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.86,0.31411470316775053,307420893.74286866,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.88,0.3113983182079622,304762395.1636352,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.9,0.3087042972600727,302125784.0174199,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.92,0.30603247784874676,299510901.29124993,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.94,0.3033826981929053,296917588.6516139,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.96,0.3007547972164284,294345688.4549368,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,2.98,0.29814861455833136,291795043.7575395,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.0,0.29556399058243366,289265498.32510114,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.02,0.2930007663865346,286756896.6416396,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.04,0.2904587838111142,284269083.9180269,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.06,0.28793788544757354,281801906.1000541,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.08,0.28543791464603135,279355209.87606126,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.1,0.2829587155226887,276928842.6841456,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.12,0.2805001329667798,274522652.71896434,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.14,0.2780620126471187,272136488.93814135,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.16,0.27564420101825843,269770201.0682953,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.18,0.27324654532627307,267423639.6106988,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.2,0.27086889361417604,265096655.8465807,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.22,0.26851109472698753,262789101.84208593,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.24,0.2661729983164605,260500830.4529006,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.2600000000000002,0.2638544548454785,258231695.3285561,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.2800000000000002,0.26155531559213535,255981550.91642204,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.3000000000000003,0.25927543265350705,253750252.4653975,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.3200000000000003,0.25701465894912656,251537656.02931198,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.34,0.25477284822417057,249343618.47004414,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.36,0.2525498550523692,247167997.4603695,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.38,0.2503455348386463,245010651.48654455,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.4,0.24815974382149977,242871439.8506363,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.42,0.24599233907513182,240750222.6726071,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.44,0.24384317851133522,238646860.8921608,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.46,0.2417121208811461,236561216.27036026,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.48,0.23959902577626926,234493151.3910222,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.5,0.23750375363028495,232442529.6618985,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.52,0.23542616571964364,230409215.3156495,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.54,0.2333661241644561,228393073.41061744,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.56,0.23132349192908683,226393969.83140722,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.58,0.22929813282255523,224411771.28927884,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.6,0.22728991149875408,222446345.32236147,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.62,0.22529869345648806,220497560.295691,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.64,0.22332434503934248,218565285.40108168,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.66,0.2213667334353844,216649390.65683338,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.68,0.21942572667670426,214749746.9072833,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.7,0.21750119363880305,212866225.82220596,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.72,0.21559300403982948,210998699.89606673,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.74,0.21370102843967437,209147042.4471355,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.7600000000000002,0.2118251382389248,207311127.61646315,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.7800000000000002,0.2099652056776854,205490830.36672783,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.8000000000000003,0.20812110383426974,203686026.48095444,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.8200000000000003,0.2062927066237675,201896592.56111214,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.84,0.20447988879649168,200122406.0265948,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.86,0.20268252593630942,198363345.11258727,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.88,0.2009004944588625,196619288.86832386,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.9,0.19913367160967937,194890117.15524068,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.92,0.19738193546218435,193175710.64502707,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.94,0.19564516491560713,191475950.8175798,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
Correa2015a_article_formula_project_pl,978689920.0916836,3.96,0.19392323969279648,189790719.9588634,0.13734877387095548,-0.4697585820364229,0.4697585820364229,0.2923816171181862
