model,target_M0_msun,selection_width_dex,z,n_halos,n_positive_mass,median_M0_Msun,median_M_main_over_M0,p16_M_main_over_M0,p84_M_main_over_M0,median_M_msun,p16_M_msun,p84_M_msun
PL_new_SOAP_direct_raw,30000000000.0,0.1,3.885188622409834,878,871,29268746206.005985,0.1578006110028653,0.07397847356776845,0.2770415122751519,4667800569.164692,2204718889.0313,8219234211.532423
PL_new_SOAP_direct_raw,30000000000.0,0.1,4.373707484650818,878,868,29268746206.005985,0.1203145816728634,0.05558113660994928,0.2259450631247495,3464635438.095562,1718561588.3368914,6783760197.338917
PL_new_SOAP_direct_raw,30000000000.0,0.1,4.9110782331159015,878,874,29268746206.005985,0.0925731087641565,0.04148512826605527,0.17603991394574797,2688504186.229098,1246092155.908158,5254626799.392849
PL_new_SOAP_direct_raw,30000000000.0,0.1,5.502186056427491,878,872,29268746206.005985,0.0698131867647473,0.030925725370869177,0.13761943597914866,2018290530.92044,929477300.5134423,4101698623.512922
PL_new_SOAP_direct_raw,30000000000.0,0.1,6.152404662070242,878,874,29268746206.005985,0.051270228809024314,0.021672631377299554,0.10791570334064793,1468995149.35086,640770223.5133535,3176020424.7199554
PL_new_SOAP_direct_raw,30000000000.0,0.1,6.867645128277267,878,870,29268746206.005985,0.034428753324286646,0.015126921179716668,0.08014413068934051,1003039281.0857915,446087371.7722402,2318933499.5279694
PL_new_SOAP_direct_raw,30000000000.0,0.1,7.654409641104996,878,868,29268746206.005985,0.023995131252565936,0.010472883744467794,0.05534612994900394,710169802.5313132,298165279.96896195,1603351286.357105
PL_new_SOAP_direct_raw,100000000000.0,0.1,0.0,307,307,100154231575.92804,1.0,1.0,1.0,100154231575.92804,85222369713.34393,117434012218.82706
PL_new_SOAP_direct_raw,100000000000.0,0.1,0.06315937806691885,307,300,100154231575.92804,0.9782430092846077,0.9533618617534825,1.001201745659025,97369377717.78793,81735654007.6716,113781912096.57188
PL_new_SOAP_direct_raw,100000000000.0,0.1,0.16947531587361064,307,300,100154231575.92804,0.9319886450197569,0.8494258485408648,0.9846123762036478,92784053553.96118,75428132241.84984,110032960030.7085
PL_new_SOAP_direct_raw,100000000000.0,0.1,0.2864228474609716,307,293,100154231575.92804,0.8820378269919268,0.7483741279508257,0.9615580861911488,84892662789.69215,71262731719.77492,104424535164.21074
PL_new_SOAP_direct_raw,100000000000.0,0.1,0.4150651322070684,307,295,100154231575.92804,0.8375750377913452,0.6644921097304706,0.9205773783443972,80311361294.45587,64286206265.12272,99149111558.15494
PL_new_SOAP_direct_raw,100000000000.0,0.1,0.5565716454277756,307,297,100154231575.92804,0.7791792554014856,0.6123006517944556,0.9056466424337364,75998424100.95218,59028936254.50715,94830907588.31454
PL_new_SOAP_direct_raw,100000000000.0,0.1,0.7122288099705543,307,303,100154231575.92804,0.7199341901970061,0.5304437273135176,0.8652082724325653,70754269535.50143,51878771047.83575,89091750325.0399
PL_new_SOAP_direct_raw,100000000000.0,0.1,0.8834516909676096,307,306,100154231575.92804,0.6590243888323224,0.45334574974837566,0.7928385862203484,65025751904.04382,45591935129.23924,81674596278.67802
PL_new_SOAP_direct_raw,100000000000.0,0.1,1.0717968600643704,307,306,100154231575.92804,0.5966461636420481,0.3951306485001148,0.7267665698538704,59872644750.80214,39656469560.44513,77068428721.98466
