model,k_hMpc,P_k_Mpc_over_h_cubed,source_file
PL,2.6780334940e-04,1.7758410150e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,2.7048138290e-04,1.7929288040e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,2.7318619680e-04,1.8101801580e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,2.7591805870e-04,1.8275966150e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,2.7867723930e-04,1.8451797310e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,2.8146401170e-04,1.8629310750e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,2.8427865180e-04,1.8808522290e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,2.8712143840e-04,1.8989447910e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,2.8999265270e-04,1.9172103700e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,2.9289257930e-04,1.9356505930e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,2.9582150510e-04,1.9542671000e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,2.9877972010e-04,1.9730615440e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,3.0176751730e-04,1.9920355950e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,3.0478519250e-04,2.0111909370e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,3.0783304440e-04,2.0305292680e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,3.1091137490e-04,2.0500523020e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,3.1402048860e-04,2.0697617680e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,3.1716069350e-04,2.0896594100e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,3.2033230040e-04,2.1097469870e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,3.2353562340e-04,2.1300262730e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,3.2677097970e-04,2.1504990590e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,3.3003868950e-04,2.1711671500e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,3.3333907640e-04,2.1920323680e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,3.3667246710e-04,2.2130965500e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,3.4003919180e-04,2.2343615500e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,3.4343958370e-04,2.2558292360e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
PL,3.4687397950e-04,2.2775014940e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/initial_condition/input_powerspec_kp_1.0_ms_1.0_5.000000_0.0.txt
