dataset,model,z,snap,box,x,y
power,PL,10.51901923231075,30,25,19.855971980449656,0.0013493277002787475
power,PL,10.51901923231075,30,25,20.106635831090703,0.0013268761401320122
power,PL,10.51901923231075,30,25,20.35857305190006,0.0012870357140582983
power,PL,10.51901923231075,30,25,20.610988701236806,0.0012638698884057068
power,PL,10.51901923231075,30,25,20.862646236697852,0.0012266619842464153
power,PL,10.51901923231075,30,25,21.11314497992686,0.0012014453648753393
power,PL,10.51901923231075,30,25,21.36464071217916,0.0011815916695698688
power,PL,10.51901923231075,30,25,21.617216570183352,0.0011479394256872339
power,PL,10.51901923231075,30,25,21.867907000228907,0.001124157792298566
power,PL,10.51901923231075,30,25,22.118380934686936,0.0010919847931402196
power,PL,10.51901923231075,30,25,22.369760043372604,0.001070161855938355
power,PL,10.51901923231075,30,25,22.622182780751523,0.0010540633014208907
power,PL,10.51901923231075,30,25,22.874179927983825,0.0010270779899340672
power,PL,10.51901923231075,30,25,23.124905045653037,0.001010051427762236
power,PL,10.51901923231075,30,25,23.376218733652543,0.000992979411705627
power,PL,10.51901923231075,30,25,23.62677019857868,0.0009681428921482136
power,PL,10.51901923231075,30,25,23.87663985612261,0.0009564714238473783
power,PL,10.51901923231075,30,25,24.12683364571325,0.0009357578563577864
power,PL,10.51901923231075,30,25,24.37875191845385,0.0009204145970825946
power,PL,10.51901923231075,30,25,24.63247310093604,0.0008977242230226419
power,PL,10.51901923231075,30,25,24.884090136607472,0.0008788660277568541
power,PL,10.51901923231075,30,25,25.1346414659627,0.0008610989173492738
power,PL,10.51901923231075,30,25,25.385845831243543,0.0008511962224973218
power,PL,10.51901923231075,30,25,25.637585208635205,0.0008308638141623361
power,PL,10.51901923231075,30,25,25.88948668125444,0.0008173195199215973
power,PL,10.51901923231075,30,25,26.139069033235916,0.000801122112198166
power,PL,10.51901923231075,30,25,26.390547380112228,0.0007914771280688426
power,PL,10.51901923231075,30,25,26.64300560904685,0.0007792216501293218
power,PL,10.51901923231075,30,25,26.89360701301547,0.000759973856822423
power,PL,10.51901923231075,30,25,27.14431675423385,0.0007478331388362852
power,PL,10.51901923231075,30,25,27.396541256600635,0.000738600714311782
power,PL,10.51901923231075,30,25,27.649003093917827,0.0007249154230855236
power,PL,10.51901923231075,30,25,27.89884103880582,0.0007085547070921108
power,PL,10.51901923231075,30,25,28.14922945105167,0.0006980780415305114
power,PL,10.51901923231075,30,25,28.400870907962133,0.0006868531893446361
power,PL,10.51901923231075,30,25,28.65300236168307,0.0006762915402599393
power,PL,10.51901923231075,30,25,28.90403695146484,0.0006647265317363445
power,PL,10.51901923231075,30,25,29.154865892880995,0.0006560316173184638
power,PL,10.51901923231075,30,25,29.40751703157385,0.0006448338107760766
power,PL,10.51901923231075,30,25,29.65873973701816,0.00063484328897515
power,PL,10.51901923231075,30,25,29.90841703561923,0.000625631994322989
power,PL,10.51901923231075,30,25,30.159540002722725,0.0006159573413608746
power,PL,10.51901923231075,30,25,30.411658195557067,0.0006025220887196344
power,PL,10.51901923231075,30,25,30.66356878913305,0.0005917439423007322
power,PL,10.51901923231075,30,25,30.914951782254548,0.0005872979857207665
