dataset,model,z,snap,x,y,err,lo,hi,count,theory,reference,particleMass,mass50
hmf.fof,kp1,2.0333177828202462,44,120031624.07533862,26.033131541145373,0.05527540534237718,25.977856135802995,26.08840694648775,,,,,
hmf.fof,kp1,2.0333177828202462,44,176753813.65035558,17.952220480515827,0.045901599178752715,17.906318881337075,17.99812207969458,,,,,
hmf.fof,kp1,2.0333177828202462,44,259573213.79727662,13.005533489630691,0.039069046797172775,12.96646444283352,13.044602536427863,,,,,
hmf.fof,kp1,2.0333177828202462,44,381431857.7109571,9.073933710099963,0.03263371607527255,9.04129999402469,9.106567426175236,,,,,
hmf.fof,kp1,2.0333177828202462,44,559666440.0662351,6.5145618962480105,0.027651031501944458,6.486910864746066,6.542212927749955,,,,,
hmf.fof,kp1,2.0333177828202462,44,823227465.5896555,4.581800166963196,0.023189255275541436,4.558610911687654,4.604989422238737,,,,,
hmf.fof,kp1,2.0333177828202462,44,1204237541.3518014,3.2431385028738946,0.019509739820043857,3.223628763053851,3.2626482426939383,,,,,
hmf.fof,kp1,2.0333177828202462,44,1768790481.3260214,2.289433024845694,0.01639202852711704,2.2730409963185774,2.305825053372811,,,,,
hmf.fof,kp1,2.0333177828202462,44,2593177550.612764,1.5928735845186732,0.013672860558261578,1.5792007239604116,1.606546445076935,,,,,
hmf.fof,kp1,2.0333177828202462,44,3817983947.9038153,1.1498218764757915,0.011616733150536502,1.138205143325255,1.161438609626328,,,,,
hmf.fof,kp1,2.0333177828202462,44,5596121813.509308,0.798197262622421,0.009678851945493627,0.7885184106769273,0.8078761145679146,,,,,
hmf.fof,kp1,2.0333177828202462,44,8216396704.703441,0.5522008705541083,0.008050396541288536,0.5441504740128197,0.5602512670953969,,,,,
hmf.fof,kp1,2.0333177828202462,44,12077958292.185232,0.378031669299635,0.006660898588575428,0.37137077071105956,0.38469256788821043,,,,,
hmf.fof,kp1,2.0333177828202462,44,17632828628.149082,0.2729902709689386,0.005660337336538452,0.2673299336324001,0.27865060830547705,,,,,
hmf.fof,kp1,2.0333177828202462,44,26033038551.767185,0.1835583765242562,0.004641473054730374,0.17891690346952582,0.18819984957898656,,,,,
hmf.fof,kp1,2.0333177828202462,44,38155409746.437126,0.12874906588689836,0.0038872347906849522,0.1248618310962134,0.1326363006775833,,,,,
hmf.fof,kp1,2.0333177828202462,44,55915427209.72031,0.08778878877247034,0.0032098760188414514,0.08457891275362889,0.0909986647913118,,,,,
hmf.fof,kp1,2.0333177828202462,44,81822426251.84564,0.06361166245277931,0.0027323548634177594,0.06087930758936155,0.06634401731619707,,,,,
hmf.fof,kp1,2.0333177828202462,44,120611472077.8778,0.039786630205705144,0.0021609131298926765,0.03762571707581247,0.04194754333559782,,,,,
hmf.fof,kp1,2.0333177828202462,44,177790656377.3386,0.026759149518881337,0.0017721679692649915,0.024986981549616344,0.02853131748814633,,,,,
hmf.fof,kp1,2.0333177828202462,44,255841354154.13928,0.019599903375671857,0.0015166860587519137,0.018083217316919944,0.02111658943442377,,,,,
hmf.fof,kp1,2.0333177828202462,44,382951735697.6867,0.01126701032373951,0.0011499344258263375,0.010117075897913172,0.012416944749565848,,,,,
hmf.fof,kp1,2.0333177828202462,44,547185657929.5346,0.008684987124549206,0.0010096092457493179,0.007675377878799888,0.009694596370298524,,,,,
hmf.fof,kp1,2.0333177828202462,44,814388765422.6152,0.004694587634891462,0.000742279480075999,0.003952308154815463,0.0054368671149674615,,,,,
hmf.fof,kp1,2.0333177828202462,44,1177390998502.1653,0.0031688466535517374,0.0006098448228162468,0.002559001830735491,0.003778691476367984,,,,,
hmf.fof,kp1,2.0333177828202462,44,1728674811600.7903,0.0019951997448288718,0.00048390701718440245,0.0015112927276444694,0.002479106762013274,,,,,
hmf.fof,kp1,2.0333177828202462,44,2562109778774.2217,0.0017604703630842984,0.00045455149318114754,0.001305918869903151,0.002215021856265446,,,,,
hmf.fof,kp1,2.0333177828202462,44,3627401507698.848,0.0010562822178505791,0.0003520940726168597,0.0007041881452337195,0.0014083762904674388,,,,,
hmf.fof,kp1,2.0333177828202462,44,8205006638281.431,0.00023472938174457314,0.00016597873757531346,6.875064416925967e-05,0.0004007081193198866,,,,,
hmf.fof,kp1,1.0717968600643704,48,120009906.10612388,22.379920808363707,0.05125048767982467,22.328670320683884,22.43117129604353,,,,,
hmf.fof,kp1,1.0717968600643704,48,176821182.5595187,15.424185039126773,0.042547088138603105,15.38163795098817,15.466732127265375,,,,,
hmf.fof,kp1,1.0717968600643704,48,259686452.89988637,11.105516509099244,0.03610256932778479,11.06941393977146,11.141619078427029,,,,,
hmf.fof,kp1,1.0717968600643704,48,381491815.3597726,7.862847464988838,0.030377963429176043,7.832469501559662,7.893225428418014,,,,,
hmf.fof,kp1,1.0717968600643704,48,560035928.458065,5.65944275855253,0.025772441674527434,5.633670316878003,5.6852152002270575,,,,,
hmf.fof,kp1,1.0717968600643704,48,821601475.5154104,3.974085797626495,0.021596697690581725,3.9524890999359132,3.995682495317077,,,,,
hmf.fof,kp1,1.0717968600643704,48,1204700733.1150064,2.8490278709247563,0.01828593107713175,2.8307419398476243,2.8673138020018882,,,,,
hmf.fof,kp1,1.0717968600643704,48,1769033056.0824096,2.0298223286361963,0.015434683998257044,2.014387644637939,2.0452570126344534,,,,,
hmf.fof,kp1,1.0717968600643704,48,2598313455.7974486,1.40638109072261,0.012847547702238287,1.3935335430203717,1.4192286384248483,,,,,
hmf.fof,kp1,1.0717968600643704,48,3808512130.3692536,1.0049938479393898,0.01086051528666832,0.9941333326527215,1.0158543632260582,,,,,
hmf.fof,kp1,1.0717968600643704,48,5588294602.267563,0.7217928488645624,0.00920396624183381,0.7125888826227286,0.7309968151063962,,,,,
hmf.fof,kp1,1.0717968600643704,48,8191023380.044364,0.4945748073358156,0.007618767575939607,0.486956039759876,0.5021935749117552,,,,,
hmf.fof,kp1,1.0717968600643704,48,12041665529.740656,0.34974677879941396,0.006406865269175809,0.34333991353023813,0.3561536440685898,,,,,
hmf.fof,kp1,1.0717968600643704,48,17707659471.068745,0.23907187530684773,0.00529703659999117,0.23377483870685656,0.2443689119068389,,,,,
hmf.fof,kp1,1.0717968600643704,48,25924907159.424034,0.1738171071818564,0.004516634925773133,0.16930047225608325,0.17833374210762953,,,,,
hmf.fof,kp1,1.0717968600643704,48,38191616140.03836,0.12194191381630574,0.0037830774535324726,0.11815883636277327,0.12572499126983822,,,,,
hmf.fof,kp1,1.0717968600643704,48,55576871136.96896,0.08673250655461977,0.0031905068281327213,0.08354199972648704,0.08992301338275249,,,,,
hmf.fof,kp1,1.0717968600643704,48,82431869180.5849,0.059386533581377,0.00264005343804912,0.05674648014332788,0.06202658701942612,,,,,
