model,snapshot,redshift,box_size_mpc,particle_mass_msun,log10_M_FOF_Msun,dn_dlog10M,poisson_err,counts,log10_bin_left,log10_bin_right,source_fof_file
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.0415080746e+01,1.0140309291e-01,3.4498032775e-03,864,1.0333333333e+01,1.0500000000e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.0583661007e+01,7.3705025868e-02,2.9411507232e-03,628,1.0500000000e+01,1.0666666667e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.0746809515e+01,5.2344652129e-02,2.4785911151e-03,446,1.0666666667e+01,1.0833333333e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.0909577926e+01,3.3448936899e-02,1.9813440234e-03,285,1.0833333333e+01,1.1000000000e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.1082306949e+01,2.8636984573e-02,1.8332950777e-03,244,1.1000000000e+01,1.1166666667e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.1246227802e+01,1.7956797703e-02,1.4517210516e-03,153,1.1166666667e+01,1.1333333333e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.1418933776e+01,1.1501739705e-02,1.1618511630e-03,98,1.1333333333e+01,1.1500000000e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.1583586458e+01,8.5676224337e-03,1.0027643584e-03,73,1.1500000000e+01,1.1666666667e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.1739514448e+01,6.4550579980e-03,8.7039984289e-04,55,1.1666666667e+01,1.1833333333e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
PL-25-512,0056,-2.220446049e-16,37.11401427,1.5123500489e+07,1.1919835986e+01,6.1029639254e-03,8.4632882174e-04,52,1.1833333333e+01,1.2000000000e+01,/oss06/data/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_512/fof_output_0056.hdf5
