box_hinv_Mpc,redshift,k_hMpc,P_mesh512_over_mesh1024,n_raw_shells,k_bin_left_hMpc,k_bin_right_hMpc,k_over_kNy1024,inferred_mesh1024_fractional_error_dx2
256.0,-2.220446049250313e-16,0.47912422134504706,0.9964953445260134,2.0,0.44361836186872367,0.5033002611578857,0.03812749409105982,0.0011682184913288651
256.0,-2.220446049250313e-16,0.5403284840379885,0.9953212545281942,3.0,0.5033002611578857,0.5710114248078764,0.04299797456399807,0.001559581823935267
256.0,-2.220446049250313e-16,0.6136871191307025,0.9938861165440411,3.0,0.5710114248078764,0.6478320645234825,0.048835669260738075,0.0020379611519862895
256.0,-2.220446049250313e-16,0.6876327138934866,0.9926047483663789,3.0,0.6478320645234825,0.7349877175679386,0.0547200727239217,0.002465083877873697
256.0,-2.220446049250313e-16,0.7730500311462425,0.9908273149609133,4.0,0.7349877175679386,0.8338687980396291,0.061517366857134076,0.0030575616796955827
256.0,-2.220446049250313e-16,0.883342157227304,0.9881584672040763,5.0,0.8338687980396291,0.9460527784667127,0.07029413538209182,0.003947177598641234
256.0,-2.220446049250313e-16,1.006048294955327,0.984532073192762,5.0,0.9460527784667127,1.0733293555877261,0.08005877956565671,0.005155975602412655
256.0,-2.220446049250313e-16,1.1408206544792765,0.9800400632126145,6.0,1.0733293555877261,1.2177290017936335,0.09078362317085402,0.006653312262461834
256.0,-2.220446049250313e-16,1.3002385088355326,0.9745397419139112,7.0,1.2177290017936335,1.3815553577190134,0.10346969293980503,0.00848675269536292
256.0,-2.220446049250313e-16,1.472071550820241,0.9670874706368245,7.0,1.3815553577190134,1.567421982748814,0.1171437319489968,0.010970843121058485
256.0,-2.220446049250313e-16,1.6679888204921034,0.9586701290754156,9.0,1.567421982748814,1.7782940497299278,0.13273433290166917,0.013776623641528133
256.0,-2.220446049250313e-16,1.9010260217438923,0.9460687562402874,10.0,1.7782940497299278,2.0175356490528715,0.15127884415343068,0.01797708125323753
256.0,-2.220446049250313e-16,2.1586815180301744,0.9317424377769372,11.0,2.0175356490528715,2.288963456756421,0.17178241707780934,0.022752520741020927
256.0,-2.220446049250313e-16,2.440770370127204,0.9147624372523094,12.0,2.288963456756421,2.596907622834774,0.19423033467898976,0.028412520915896855
256.0,-2.220446049250313e-16,2.77154978403383,0.8927153588658597,15.0,2.596907622834774,2.9462808511123417,0.22055292407712954,0.035761547044713425
256.0,-2.220446049250313e-16,3.151974652666989,0.8637222265153082,16.0,2.9462808511123417,3.3426567727332492,0.2508261732361556,0.045425924494897275
256.0,-2.220446049250313e-16,3.568963146551516,0.8336790546748244,18.0,3.3426567727332492,3.7923588635757772,0.2840090632432391,0.05544031510839187
256.0,-2.220446049250313e-16,4.047088802390766,0.7978271895393295,21.0,3.7923588635757772,4.302561324111595,0.3220570940161746,0.0673909368202235
256.0,-2.220446049250313e-16,4.586871486087359,0.7632435277884091,23.0,4.302561324111595,4.881403531069338,0.3650116351690355,0.0789188240705303
256.0,-2.220446049250313e-16,5.199828915962223,0.7355563506814161,27.0,4.881403531069338,5.5381198867761166,0.41378923760377967,0.08814788310619463
256.0,-2.220446049250313e-16,5.899014584144704,0.7335803107578676,30.0,5.5381198867761166,6.283187137693223,0.4694286652189055,0.08880656308071082
