model,z,x,y,lo,hi
kp1,10.51901923,25903518575.868904,10.384615385043928,7.368953038025692,13.400277732062163
kp1,10.51901923,39268853073.09662,13.000000000063903,6.254631218550262,19.745368781577543
kp1,10.51901923,56860511087.0487,12.500000000213012,3.3144134642137075,21.685586536212316
kp10,10.51901923,119511303.21428142,2.286870949061077,2.2741484998562225,2.299593398265931
kp10,10.51901923,175936956.12649906,2.152258064500064,2.136876293519835,2.1676398354802933
kp10,10.51901923,257989432.44063324,2.0296345441442742,2.011196248441012,2.0480728398475363
kp10,10.51901923,379334749.8583686,1.8549289316557025,1.8328921355482968,1.8769657277631082
kp10,10.51901923,556183320.2134438,1.695652173881276,1.6694288660648247,1.7218754816977273
kp10,10.51901923,816284879.3213159,1.5912014407125417,1.5586323300667684,1.623770551358315
kp10,10.51901923,1191598469.1390576,1.4942369755879223,1.452784657694326,1.5356892934815187
kp10,10.51901923,1752720876.5608103,1.334415584430629,1.2841316460253236,1.3846995228359342
kp10,10.51901923,2567125784.3021803,1.236879432615885,1.1742338556220644,1.2995250096097055
kp10,10.51901923,3774257414.586988,1.205633802798985,1.1190851651781648,1.2921824404198052
kp10,10.51901923,5478207380.734965,1.0,0.8997490585765748,1.1002509414234252
