family,snapshot,redshift,k_hMpc,P_Mpc_over_h_cubed,source_file
PL_128_1024,0016,42.74345637,5.3016243661e+00,1.4117169149e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.3508869642e+00,1.3566880944e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.4001959168e+00,1.3378743003e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.4489923904e+00,1.2525348708e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.4978963772e+00,1.2042134597e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.5470450992e+00,1.1466933178e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.5962895238e+00,1.1056189698e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.6453197171e+00,1.0774616505e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.6943097447e+00,1.0192631331e-03,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.7436556702e+00,9.4611629009e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.7927226049e+00,9.1449067777e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.8414877023e+00,8.7357439713e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
PL_128_1024,0016,42.74345637,5.8905351568e+00,8.2412719301e-04,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/PL_128_1024_snap0016.npz
