model,z,snap,box,k_hMpc,P_Mpc_over_h_cubed,source_file
PL,19.40664523021168,24,25,16.08449366682584,0.0003352406340710333,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,16.338138266722677,0.00032091700052240145,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,16.590773181146194,0.00030943007341682093,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,16.842164585753792,0.000294877982324081,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,17.093141526529084,0.0002834635027947971,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,17.344842926726773,0.0002745149901686046,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,17.59671504894166,0.00026524202641699447,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,17.84592583282211,0.0002543005261930194,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,18.096741808972432,0.0002460514624464103,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,18.348607136620142,0.00023944569940679208,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,18.60101336990868,0.00023115284341515657,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
PL,19.40664523021168,24,25,18.852551541782248,0.00022164874663068993,/project/tkcastrosim/HNHuang/project_big_sim/analysis/_used_by_article_nonlinear_evolution_pps/powerspectrum/sim_power_data/cdm_25_snap0024.npz
