model,target_mass_msun,bin_index,r_over_r200m,rho_msun_kpc3_median,rho_msun_kpc3_p16_bootstrap_median,rho_msun_kpc3_p84_bootstrap_median,nhalo,n_bootstrap,power_radius_over_r200m,kappa_threshold,reference_overdensity_crit,source_cache
BT_soft,1e+11,14,0.2818382931,39438.84497,39115.24598,39736.99053,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
BT_soft,1e+11,15,0.3548133892,19945.31722,19657.01067,20112.20792,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
BT_soft,1e+11,16,0.4466835922,10059.54905,9877.39119,10244.97303,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
BT_soft,1e+11,17,0.5623413252,5041.297058,4945.42149,5193.066689,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
BT_soft,1e+11,18,0.7079457844,2442.339939,2408.783676,2498.363724,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
BT_soft,1e+11,19,0.8912509381,1181.924694,1146.23752,1264.538981,100,160,0.02554813873,0.6,63,BTsoft_M1e+11_N100_B160_all.npz
PL,1e+08,0,0.01122018454,146514174.8,135037496.5,157990853,100,160,0.532475388,0.6,63,PL_M1e+08_N100_B160_all.npz
PL,1e+08,1,0.01412537545,70158147.36,68484569.18,73685323.36,100,160,0.532475388,0.6,63,PL_M1e+08_N100_B160_all.npz
PL,1e+08,2,0.0177827941,43974621.35,41510367.32,45001411.23,100,160,0.532475388,0.6,63,PL_M1e+08_N100_B160_all.npz
PL,1e+08,3,0.02238721139,20003966.03,19358045.9,22608439.97,100,160,0.532475388,0.6,63,PL_M1e+08_N100_B160_all.npz
PL,1e+08,4,0.02818382931,9968548.907,9672008.693,10314842.94,100,160,0.532475388,0.6,63,PL_M1e+08_N100_B160_all.npz
PL,1e+08,5,0.03548133892,4855499.618,4835127.077,4996109.45,100,160,0.532475388,0.6,63,PL_M1e+08_N100_B160_all.npz
PL,1e+08,6,0.04466835922,2503986.274,2405082.053,2518035.802,100,160,0.532475388,0.6,63,PL_M1e+08_N100_B160_all.npz
PL,1e+08,7,0.05623413252,2110526.26,1399406.362,2172475.317,100,160,0.532475388,0.6,63,PL_M1e+08_N100_B160_all.npz
