ratio,target_mass_msun,bin_index,r_over_r200m,rho_ratio_median,rho_ratio_lower_from_bootstrap_bounds,rho_ratio_upper_from_bootstrap_bounds,nhalo_bt,nhalo_pl,n_bootstrap,kappa_threshold
BT_deep/PL,100000000000,16,0.4466835922,1.010521054,0.9859482341,1.055305707,100,100,160,0.6
BT_deep/PL,100000000000,17,0.5623413252,0.9847330241,0.9509002173,1.033406558,100,100,160,0.6
BT_deep/PL,100000000000,18,0.7079457844,0.9865548546,0.9464796092,1.030338411,100,100,160,0.6
BT_deep/PL,100000000000,19,0.8912509381,1.017425481,0.9805612227,1.075840233,100,100,160,0.6
BT_deep/PL,316227766016.838,0,0.01122018454,0.6955034695,0.4993610118,0.9463585784,98,100,160,0.6
BT_deep/PL,316227766016.838,1,0.01412537545,0.6368789358,0.479586947,0.8869921069,98,100,160,0.6
BT_deep/PL,316227766016.838,2,0.0177827941,0.6587346204,0.5321677078,0.9304627616,98,100,160,0.6
BT_deep/PL,316227766016.838,3,0.02238721139,0.7886623247,0.6305578372,0.9867220544,98,100,160,0.6
BT_deep/PL,316227766016.838,4,0.02818382931,0.9316743827,0.8462329795,1.014111832,98,100,160,0.6
BT_deep/PL,316227766016.838,5,0.03548133892,0.9839010507,0.9485717145,1.067888984,98,100,160,0.6
BT_deep/PL,316227766016.838,6,0.04466835922,1.016437012,0.9389278486,1.07172539,98,100,160,0.6
BT_deep/PL,316227766016.838,7,0.05623413252,1.02203159,0.9795201036,1.047281417,98,100,160,0.6
BT_deep/PL,316227766016.838,8,0.07079457844,1.024976719,0.976706557,1.04946966,98,100,160,0.6
BT_deep/PL,316227766016.838,9,0.08912509381,1.019411582,0.9773845192,1.036421566,98,100,160,0.6
BT_deep/PL,316227766016.838,10,0.1122018454,1.004818625,0.9766567141,1.039080919,98,100,160,0.6
BT_deep/PL,316227766016.838,11,0.1412537545,1.000515695,0.976462883,1.028966896,98,100,160,0.6
BT_deep/PL,316227766016.838,12,0.177827941,1.008939369,0.9875960963,1.025808843,98,100,160,0.6
BT_deep/PL,316227766016.838,13,0.2238721139,1.011469828,0.994413255,1.02863048,98,100,160,0.6
BT_deep/PL,316227766016.838,14,0.2818382931,1.009458344,0.9713891953,1.026091597,98,100,160,0.6
BT_deep/PL,316227766016.838,15,0.3548133892,0.9899647111,0.9672986442,1.012739889,98,100,160,0.6
BT_deep/PL,316227766016.838,16,0.4466835922,1.005377386,0.9767632114,1.02032419,98,100,160,0.6
BT_deep/PL,316227766016.838,17,0.5623413252,0.9866063188,0.9540810743,1.017598421,98,100,160,0.6
BT_deep/PL,316227766016.838,18,0.7079457844,0.9871228408,0.9395870132,1.063532953,98,100,160,0.6
BT_deep/PL,316227766016.838,19,0.8912509381,1.020875188,0.957029589,1.085044577,98,100,160,0.6
