model,snapshot,redshift,log10_M200c_center_Msun,log10_M200c_left_Msun,log10_M200c_right_Msun,log10_c200c_median,log10_c200c_p16,log10_c200c_p84,n_halos_bin,n_valid_snapshot,n_total_snapshot,source_file
BT_deep,0056,0,1.0125000000e+01,1.0000000000e+01,1.0250000000e+01,1.1518932338e+00,9.8026266276e-01,1.3286223144e+00,2241,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,1.0375000000e+01,1.0250000000e+01,1.0500000000e+01,1.1109543155e+00,9.3502467661e-01,1.2836091772e+00,1282,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,1.0625000000e+01,1.0500000000e+01,1.0750000000e+01,1.0849385082e+00,9.1825237484e-01,1.2336477913e+00,775,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,1.0875000000e+01,1.0750000000e+01,1.1000000000e+01,1.0543475035e+00,8.9336321014e-01,1.2091411980e+00,438,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,1.1125000000e+01,1.1000000000e+01,1.1250000000e+01,1.0216083634e+00,8.7061290085e-01,1.1374679126e+00,276,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,1.1375000000e+01,1.1250000000e+01,1.1500000000e+01,1.0056268800e+00,8.6391623355e-01,1.1291974227e+00,154,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,1.1625000000e+01,1.1500000000e+01,1.1750000000e+01,9.5930644746e-01,8.3360834885e-01,1.0909713900e+00,91,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,1.1875000000e+01,1.1750000000e+01,1.2000000000e+01,9.3998335753e-01,7.9805445414e-01,1.0708322251e+00,64,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,1.2125000000e+01,1.2000000000e+01,1.2250000000e+01,8.7226093257e-01,7.3901967301e-01,1.0070575499e+00,37,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,1.2375000000e+01,1.2250000000e+01,1.2500000000e+01,9.1138225227e-01,7.7980025117e-01,1.0240281905e+00,19,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,1.2625000000e+01,1.2500000000e+01,1.2750000000e+01,8.4992007124e-01,7.9895193432e-01,9.3512427396e-01,11,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,1.2875000000e+01,1.2750000000e+01,1.3000000000e+01,8.0165455855e-01,6.4500383912e-01,9.7703112519e-01,7,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,1.3125000000e+01,1.3000000000e+01,1.3250000000e+01,7.7008338775e-01,6.2524039349e-01,8.4833242239e-01,14,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BT_deep,0056,0,1.3375000000e+01,1.3250000000e+01,1.3500000000e+01,7.9285013344e-01,6.3652246003e-01,8.3061362997e-01,3,262062,1688882,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,0048,1.07179686,8.3750000000e+00,8.2500000000e+00,8.5000000000e+00,8.8652906430e-01,6.4000360427e-01,1.1044861878e+00,84037,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.07179686,8.6250000000e+00,8.5000000000e+00,8.7500000000e+00,9.0628814587e-01,6.8443520274e-01,1.1015494319e+00,58818,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
PL,0048,1.07179686,8.8750000000e+00,8.7500000000e+00,9.0000000000e+00,9.1507705693e-01,7.0415535909e-01,1.0888788930e+00,35440,229344,1261589,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0048.hdf5
