model,snapshot,redshift,log10_M200c_center_Msun,log10_c200c_p16,log10_c200c_p84,sigma_68_log10_c,n_halos_bin,source_file
BTKP10,0056,0.0000000000e+00,1.1125000000e+01,8.7061290085e-01,1.1374679126e+00,1.3342750588e-01,276,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,1.1375000000e+01,8.6391623355e-01,1.1291974227e+00,1.3264059457e-01,154,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,1.1625000000e+01,8.3360834885e-01,1.0909713900e+00,1.2868152057e-01,91,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,1.1875000000e+01,7.9805445414e-01,1.0708322251e+00,1.3638888548e-01,64,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,1.2125000000e+01,7.3901967301e-01,1.0070575499e+00,1.3401893845e-01,37,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,1.2375000000e+01,7.7980025117e-01,1.0240281905e+00,1.2211396966e-01,19,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,1.2625000000e+01,7.9895193432e-01,9.3512427396e-01,6.8086169820e-02,11,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,1.2875000000e+01,6.4500383912e-01,9.7703112519e-01,1.6601364303e-01,7,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,1.3125000000e+01,6.2524039349e-01,8.4833242239e-01,1.1154601445e-01,14,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
BTKP10,0056,0.0000000000e+00,1.3375000000e+01,6.3652246003e-01,8.3061362997e-01,9.7045584970e-02,3,/project/tkcastrosim/HNHuang/project_big_sim/data/bluetilted/kp_10_ms_1.5_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
