model,target_mass_Msun,profile_type,r_over_R200,rho_h2_Msun_kpc_minus3,source_file
PL,1.0000000000e+08,mean_c_nfw,8.4975343591e-02,2.0113729124e+06,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,8.9021508545e-02,1.7927538530e+06,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,9.3260334688e-02,1.5965712589e+06,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,9.7700995730e-02,1.4207042141e+06,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,1.0235310219e-01,1.2632083547e+06,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,1.0722672220e-01,1.1223041840e+06,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,1.1233240330e-01,9.9636579931e+05,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,1.1768119524e-01,8.8391005851e+05,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,1.2328467394e-01,7.8358621064e+05,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,1.2915496650e-01,6.9416600687e+05,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
PL,1.0000000000e+08,mean_c_nfw,1.3530477746e-01,6.1453430419e+05,/project/tkcastrosim/HNHuang/project_big_sim/data/PL/PL_25_1024/SOAP_full_000_056/simulation_test/SOAP_uncompressed/HBTplus/halo_properties_0056.hdf5
